word_fr;word_en;phrase_fr;phrase_en
catastrophe;catastrophe, disaster; les agriculteurs subissent déjà beaucoup de catastrophes naturelles ; farmers are already suffering from many natural disasters
ressortir;to go out again, come out again, take out again; sur un fond noir, les couleurs ressortaient mieux ; on a black background the colors showed up better
exploitation;operation, exploitation; il s'agit d'une exploitation intellectuelle de l'enfant ; it's all about intellectual exploitation of children
manifestation;demonstration, event; on en attendait des manifestations spectaculaires ; a spectacular event was expected 
dormir;to sleep; je ne faisais que dormir sur la plage ; all I did was sleep on the beach 
lit;bed; je sautai joyeusement du lit ; I jumped joyfully out of the bed 
bouche;mouth; des mots sortirent mécaniquement de ma bouche ; words left my mouth automatically 
excuse;excuse, apology; tu pouvais t'inventer une meilleure excuse ; you could have come up with a better excuse 
veille;the day before, the eve of, night watch; on s'était fiancés la veille ; we were engaged the night before 
content;glad, pleased, happy; elles étaient très contentes d'y aller ; they were very happy to go there 
rassurer;to reassure, calm down; le premier travail consiste à rassurer le gosse ; the first task is to calm the kid down 
triste;sad; ouais, ouais, ne sois pas triste pour ça ; yeah, yeah, don't be sad about that 
latin;Latin; l'anglais est encore plus latin que le français ; English is more Latin than French is 
classique;classic; j'ai étudié la musique classique ; I studied classical music 
alliance;alliance; nous reconnaissons nos obligations envers l'alliance ; we recognize our duty to the alliance 
préoccupation;worry, concern; je pense que c'est une préoccupation que nous partageons ; I think it's a concern we share 
trace;trace, mark, track; l'histoire humaine laisse d'éternelles traces ; human history is leaving behind eternal footprints
logement;accommodation; ils ont trouvé un logement et fait venir leur famille ; they found a place to live and had their family come
langage;language; je parle le langage de la passion ; I speak the language of passion 
plainte;moan, groan, complaint; quand cette femme a porté plainte, sa vie a été menacée ; when this woman filed a complaint, her life was threatened
chaud;warm, hot; il y a du café chaud dans le coffre sous la banquette ; there's hot coffee in the box under the bench
taire;to keep quiet; oh, tais toi, tu n'as pas honte ; oh, shut up, you have no shame 
émotion;emotion, feeling; je fis de mon émotion un événement ; I turned my emotions into a spectacle 
judiciaire;judiciary; nous devons préserver l'indépendance du pouvoir judiciaire ; we must preserve the judiciary's independance
progresser;to progress; nous avons pas mal progressé à ce sujet ; we have progressed quite well on this topic 
secours;help, aid, assistance; une jeune fille appelait au secours ; a young girl was crying for help 
confronter;to confront; elle est confrontée à des défis plus nombreux ; she was confronted by numerous challenges 
strict;strict, absolute; ce serait son strict devoir ; this would be his strict duty 
club;club; j'arrivais dans un club qui avait gagné deux championnats ; I joined a club that had won two championships
ouvrier;worker; l'Allemand a toujours été bon ouvrier ; the German has always been a hard worker 
souffrance;suffering; je connais les souffrances du monde ; I know the sufferings of the world 
observation;observation; j'ai trouvé l'observation astucieuse ; I found the observation astute 
rétablir;to restore, re-establish; parfois, j'ai envie de rétablir quelques vérités ; sometimes I want to re-establish some truths 
immeuble;building; j'habite dans cet immeuble ; I live in this building 
passion;passion; lirait-il avec passion les journaux? ; would he read newspapers with passion? 
rupture;break, rupture; il y a eu rupture des négociations, reprise des négociations ; negotiations broke down, then restarted
office;office, bureau; il perd son emploi à l'office des jardins ; he lost his job at the gardening office 
compliquer;to complicate; le système actuel s'avère-t-il compliqué ; the current system proves too complicated 
assumer;to assume; les autorités font assumer la responsabilité des troubles ; the authorities will assume responsibility for the confusion
partiel;partial; elle travaille à temps partiel ; she works part-time 
éprouver;to feel, experience; je n'éprouvais aucune hâte à procéder ; I didn't feel any need to continue 
rendez-vous;appointment; oui, nous avions un rendez-vous clandestin ; yes, we had a secret rendez-vous 
argument;argument; j'ai entendu des arguments peu convaincants ; I heard fairly unconvincing arguments 
planète;planet; toute la planète est fatiguée de ce conflit ; the whole planet is tired of this conflict 
maire;mayor;il a fait 3 mandats comme maire; he filled three terms as mayor 
délicat;delicate, fine, gentle; c'est toujours délicat d'embaucher des amies! ; it's always tricky to hire girlfriends 
attentat;attack, assassination attempt; il s'agit d'un attentat de la guérilla ; it was a guerilla attack 
boire;to drink; vous boirez quelque chose? ; would you like something to drink? 
richesse;wealth, richness; ce sera mon passeport pour la richesse, l'indépendance ; this will be my passport to riches, independence
caisse;till, cash desk; tu vas passer à la caisse! ; you must go to the cashier! 
hasard;chance, luck; on ne laissait rien au hasard ; nothing was left to chance 
héros;hero; un héros lui aurait sauvé la vie ; a hero would have saved her life 
oreille;ear; il s'introduisit un doigt dans l'oreille ; he stuck a finger in his ear 
incident;incident; fort heureusement, l'incident n'a pas fait de victime ; very fortunately, the incident was without victims
café;coffee, café; Amélie est serveuse dans un café de Montmartre ; Amélie is a waitress in a Montmartre café 
annonce;announcement; il n'y a pas eu d'annonce à ce sujet ; there was no announcement concerning this 
régulièrement;regularly; elle a promis de venir régulièrement ; she promised to come regularly 
pont;bridge; il fallait jeter un pont entre l'Est et l'Ouest ; a bridge had to be built between the East and the West
foutre;to fxck, shove off; va te faire foutre ; go fxck yourself 
apercevoir;to see, notice; on aperçoit la sortie du tunnel ; you can see the exit of the tunnel 
refléter;to reflect; la pièce d'eau reflétait la majestueuse façade d'un palais de pierre ; the ornamental pool reflected the majestic facade of a stone palace
bouger;to move, shift, budge; je reste là. je ne bouge pas ; I'll stay here. I won't budge 
foule;crowd; il y a foule chez toi, ce soir ; there's a crowd at your place tonight 
chrétien;Christian; la moitié des habitants sont de confession chrétienne ; half of the inhabitants are Christians 
isoler;to isolate, insulate; il se sentait isolé, isolé psychologiquement ; he felt isolated, psychologically alone 
norme;norm, standard; nous appliquons désormais les normes d'hygiène ; from now on we are applying hygiene standards
égalité;equality; l'égalité des hommes et des femmes est garantie ; equality for men and women is guaranteed 
tenue;dress, outfit; il est rare qu'on me complimente sur ma tenue ; rarely do I receive compliments on my outfit 
animer;to lead, conduct, animate; le vin suscitait des conversations animées ; the wine gave rise to animated conversations 
statistique;statistics, statistical; je suis tombé sur une statistique très intéressante ; I came across an interesting statistic 
